Data,Number,Type,Image
Philips Hue Product,6,"Email Address (Username), Password, Unique Identifiers and Configuration of Products, Product Usage and Diagnostic Information, Language Preference, Location data",image/philips.png
Phlilips Shop,7,"Name and Last Name, Shipping Address, Email Address, Phone Number, Billing Information, Language Preference, Usage and Diagnostic Analytics",image/shop.png
Philips Hue Apps,4,"Language Preference, Usage and Diagnostic Analytics, Unique identifiers and Configuration of Products, Location Data",image/app.png
Philips Hue Website,2,"Language Preference, Usage and Diagnostic Analytic",image/website.png
