Date,Philips_Hue
01/03/2021,4
02/03/2021,6
03/03/2021,2
04/03/2021,6
05/03/2021,4
06/03/2021,6
07/03/2021,2
08/03/2021,2
09/03/2021,4
10/03/2021,4
11/03/2021,4
12/03/2021,6
13/03/2021,8
14/03/2021,6
15/03/2021,4
16/03/2021,4
17/03/2021,4
18/03/2021,4
19/03/2021,2
20/03/2021,4
21/03/2021,6
22/03/2021,4
23/03/2021,6
24/03/2021,6
25/03/2021,6
26/03/2021,2
27/03/2021,2
28/03/2021,4
29/03/2021,2
30/03/2021,2
31/03/2021,4
